,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-46252.20462081472,-24117.94494545529,1239.3444697921768,-38798.45148663844,315953.533974529,82216.20400092096,16808.02227337901,632.0746029594318,289.90457079287995,34243.282768928824,139638.722604646,30580.84633345216,325.392093112421,474.5931426254333,56.95992662496294,6.348883640062844,4.52537189186035,-136.36328224047907,173.58782958023534,-131.28200786432507
b5,-18648.491774071874,-9879.979288597886,-1275.2308749251192,-34227.45507379391,244233.23520139794,61872.01218124926,13422.279277010819,-1.3217778698288731,694.7221357836944,-257.88265270248854,30580.84633345216,92407.12341707898,27608.886169864436,482.78460765229045,317.27387386627214,65.8647629304362,7.246617930767133,-81.40681480093038,104.69676352398072,-81.94454870357403
b6,-8379.867765999235,-504.68811401928724,-3631.075303517519,-37970.609727874,245186.42128146172,60662.51781390842,13750.305193968481,53.566504736185394,-0.20481621481041934,535.7166378201713,325.392093112421,27608.886169864436,91768.37543326037,24445.250293082132,771.5421812415814,269.9083296906938,43.61671991571965,-46.99961066555838,49.33839844670296,-56.94523462906465
b7,-1531.7280713848568,11954.015119818721,-6484.883824703728,-39802.867955301845,235828.55417190414,56905.429716253166,13397.436116319885,3.1039050137141433,21.20581953183297,28.007128183551053,474.5931426254333,482.78460765229045,24445.250293082132,86579.49515409317,20706.566916108204,873.3992401305485,138.9170301197434,-39.51135017176715,24.359994731742578,-53.29266760315189
b8,933.9762071445766,28210.76530207463,-9814.338369581978,-43200.03898050896,237248.45784913766,56285.51127332471,13712.828794686222,4.061777673701003,6.541974908013075,3.0831513582396806,56.95992662496294,317.27387386627214,771.5421812415814,20706.566916108204,88701.63348923497,16926.02084428303,564.6713502195995,-32.87861693148061,31.026265843048023,-37.47625425744588
b9,-559.9850685106767,44307.89502068708,-14739.110956312632,-50489.62866756929,258551.3162452294,61217.858163656325,15445.427921219962,-0.11959499753133948,0.10049518586718004,6.228195078891108,6.348883640062844,65.8647629304362,269.9083296906938,873.3992401305485,16926.02084428303,101987.53803805698,11683.940238902645,-155.71250088006656,-52.627831375861966,-266.6725521638654
b10,-9560.050696888531,74912.98636253978,-19659.450704046623,-47399.24428750589,221331.92341607224,52447.64302903447,13816.063709603235,1.4677251851730024,0.9383149904986811,-0.09768293288121524,4.52537189186035,7.246617930767133,43.61671991571965,138.9170301197434,564.6713502195995,11683.940238902645,90369.46157906175,-349.91391515112133,-210.3571599050755,-616.0641844560179
AIA,9589.185957923954,623.0475093595447,-201.49633326562434,-386.7430472143802,-884.9083007651252,183.362793822051,125.88209321637827,-7.830400840611312,-73.63630701002451,-71.9821547060784,-136.36328224047907,-81.40681480093038,-46.99961066555838,-39.51135017176715,-32.87861693148061,-155.71250088006656,-349.91391515112133,1874.3228458143305,443.9137064306494,3051.981643638143
betaIA,4819.778754315281,-428.40843349612186,163.4146575360368,347.0046088848668,2252.939134736871,163.96981174885101,64.43595936080865,22.371485389110134,170.59079221875672,129.7499231862683,173.58782958023534,104.69676352398072,49.33839844670296,24.359994731742578,31.026265843048023,-52.627831375861966,-210.3571599050755,443.9137064306494,735.7793757461577,956.6543333638468
etaIA,16580.271685868905,798.1609020635115,-248.1995137365237,-462.1610887082253,-506.86952967141514,347.67339753617506,218.98971694775517,-4.17539712140174,-55.01101894028387,-59.68504225318981,-131.28200786432507,-81.94454870357403,-56.94523462906465,-53.29266760315189,-37.47625425744588,-266.6725521638654,-616.0641844560179,3051.981643638143,956.6543333638468,5057.484275540823
