,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-46396.94574852506,-40231.11643987587,285.00219882585225,-38234.496774893,315956.5744477152,81948.23151785266,17126.847357934723,632.1459121223152,289.9309635310866,34242.69894269277,139635.1205487248,30580.28312819101,325.50630554442716,474.537437566089,56.96522456754201,6.345160930213674,4.524005467883103,-136.34638323508923,173.56728906531333,-131.26554412373432
b5,-18761.568753298998,-22393.51917300836,-2026.506859211691,-33796.38601850933,244234.9606142639,61664.252934925185,13665.09970886628,-1.353773613920536,694.7206726896954,-257.80424462407433,30580.28312819101,92404.56520170772,27608.441318727568,482.86678059022375,317.2411882614698,65.86180833966283,7.245631936457075,-81.4002261002788,104.68799257759656,-81.93791192603176
b6,-8490.19335397633,-13040.040525766042,-4408.719094451976,-37539.83804350269,245187.79952605267,60453.2034007131,13994.343768956865,53.57135964614426,-0.1983280488984942,535.6642370355905,325.50630554442716,27608.441318727568,91765.49280437389,24444.9416546531,771.5631027912826,269.88727235534475,43.61347309197431,-46.994897756437254,49.33181386127895,-56.940241064961576
b7,-1628.9161692999623,-99.40591942828178,-7266.723941440942,-39390.01158167059,235832.4363392989,56703.191757451656,13634.126172851054,3.1027283904710408,21.20008733245948,28.022772594114198,474.537437566089,482.86678059022375,24444.9416546531,86577.35935053247,20706.378545520092,873.3888428738435,138.90564215761881,-39.50573357262048,24.36119879422826,-53.28301737686371
b8,851.0466081832446,16038.555600028081,-10656.724351493693,-42785.67133397727,237247.71886320962,56083.36819479681,13950.919591380889,4.060936028769806,6.542332255923207,3.0770139026035332,56.96522456754201,317.2411882614698,771.5631027912826,20706.378545520092,88699.32074227741,16925.74466293605,564.644553161974,-32.87512709191451,31.01582704135638,-37.47549691012861
b9,-646.1246093406644,31101.76371061001,-15748.109453848214,-50038.89247636765,258545.71846112466,60996.224908608194,15704.885059411874,-0.11927744163126486,0.09995616612814874,6.227360564064587,6.345160930213674,65.86180833966283,269.88727235534475,873.3888428738435,16925.74466293605,101985.6384660657,11683.765341585842,-155.6631352610075,-52.60924822022119,-266.58818473045966
b10,-9640.6609315639,63590.46171356429,-20670.156917288845,-47015.55659121796,221322.51249982615,52258.34972404671,14038.347907168358,1.4673694500208574,0.9381306645574875,-0.0976750095826463,4.524005467883103,7.245631936457075,43.61347309197431,138.90564215761881,564.644553161974,11683.765341585842,90367.48249363874,-349.8068825163988,-210.29130989136448,-615.874983845366
AIA,9589.12926725815,669.6558079293447,-202.81833485513334,-388.33200953268846,-884.8915246787286,184.20185809947287,124.94824581229679,-7.825749503042506,-73.63250541238195,-71.97360783569377,-136.34638323508923,-81.4002261002788,-46.994897756437254,-39.50573357262048,-32.87512709191451,-155.6631352610075,-349.8068825163988,1873.9461973141288,443.8012548897502,3051.359450187457
betaIA,4819.278962228011,-541.9936336031245,160.15771503342822,350.9180190539264,2252.8521336855088,161.98649168579144,66.64459455196256,22.359344226881397,170.5815204669703,129.73449739166998,173.56728906531333,104.68799257759656,49.33181386127895,24.36119879422826,31.01582704135638,-52.60924822022119,-210.29130989136448,443.8012548897502,735.6448858556921,956.4315324872128
etaIA,16579.995791247067,826.7865516588663,-251.4585671736231,-463.12220183814907,-506.8775335816757,348.2111128536698,218.38999164216307,-4.172453863099198,-55.00815755963566,-59.67810452855444,-131.26554412373432,-81.93791192603176,-56.940241064961576,-53.28301737686371,-37.47549691012861,-266.58818473045966,-615.874983845366,3051.359450187457,956.4315324872128,5056.442674081235
