,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,-43715.71102308721,-37943.13590891015,300.9417010313398,-35844.50202981904,296869.0280475673,76944.99206762077,16058.394150940641,667.0916329399938,49.83942099045146,34258.51856980473,127272.46507529936,30747.16032248372,214.44816773757358,410.59235789268695,53.57449272095053,6.657247547401264,3.9631251953016853,-126.27015913002295,161.50046852997562,-121.11640406892766
b5,-20072.41607922696,-24355.400119470134,-2098.1318439424876,-36183.03866541436,262416.449093955,66154.32009193987,14638.915599827931,13.73420878647372,722.6366643755408,-158.30112918155135,30747.16032248372,102996.26864874364,27816.525499957173,455.13635858548923,355.5226354479382,59.26721747905766,7.745898573263163,-88.14883941553141,112.37554738957088,-88.8800676132886
b6,-8235.081999833154,-13236.182983010225,-4655.30700115365,-39057.30345870532,254456.9085251411,62593.75496757988,14504.298753676896,43.68321270087892,-20.786494502805233,574.5414011681872,214.44816773757358,27816.525499957173,96541.12678600433,24551.51608246905,1000.5190494223153,280.3742483999776,50.15112373282269,-47.78333398416849,47.82143899305372,-58.943408136490085
b7,-1322.1054472570568,229.3362834490581,-6793.553383216324,-36491.03335647042,218083.82156957526,52345.81377392938,12584.89643726821,5.366073060042952,21.471608003886043,15.342840273212811,410.59235789268695,455.13635858548923,24551.51608246905,76721.70322799963,20525.529443411164,716.8436057839009,117.8909191406719,-35.0356959664789,20.854898712485358,-47.45451781693916
b8,1114.8628997104179,16715.118883108236,-11204.964886038408,-45104.663986735504,250334.59591719764,59120.29781801091,14703.345516503556,3.6582606336542893,5.933394249964207,4.1005632525474445,53.57449272095053,355.5226354479382,1000.5190494223153,20525.529443411164,95432.23013679752,16996.889363585222,631.1150411059425,-37.60906813783753,28.570551334535477,-45.81305017714573
b9,-656.508320777466,30872.53951131818,-15481.820585216565,-48917.596419301335,252333.11828871685,59483.859561655496,15319.324010036,-0.001623067471529547,0.10467350693302495,5.3740706566000345,6.657247547401264,59.26721747905766,280.3742483999776,716.8436057839009,16996.889363585222,98838.74206415768,11623.71819394821,-152.80583956403353,-50.085953688634525,-260.7791402897768
b10,-9773.874563453213,63544.63136296696,-20622.708581862273,-46878.017690016095,220634.46623103545,52100.36631585581,13994.911761095485,1.3907099993620218,0.8897451571170507,0.042231529132279136,3.9631251953016853,7.745898573263163,50.15112373282269,117.8909191406719,631.1150411059425,11623.71819394821,90078.81874564981,-370.2037553610804,-223.18151850054156,-652.0722007866393
AIA,9623.933484749778,666.4180868064221,-202.19420177863944,-388.66005618734954,-858.4041788483665,177.82967512404687,122.07549312358142,-8.226767851032475,-67.66484641136836,-77.27489485629985,-126.27015913002295,-88.14883941553141,-47.78333398416849,-35.0356959664789,-37.60906813783753,-152.80583956403353,-370.2037553610804,1874.6560046711586,443.9684168685296,3052.384624856302
betaIA,4850.094066773456,-541.4838801119282,159.72126184612733,349.1262476691624,2260.5868715052115,151.10541529488754,63.106537928928326,23.434894013749723,158.13307076728677,139.77066857438365,161.50046852997562,112.37554738957088,47.82143899305372,20.854898712485358,28.570551334535477,-50.085953688634525,-223.18151850054156,443.9684168685296,735.5469758539125,956.5815088822216
etaIA,16644.25388283948,821.9306844931912,-250.64368622300373,-464.25897709165764,-463.1596779550754,334.42639309976585,212.67447346904618,-4.28647164584688,-50.40094975454022,-64.1125289862086,-121.11640406892766,-88.8800676132886,-58.943408136490085,-47.45451781693916,-45.81305017714573,-260.7791402897768,-652.0722007866393,3052.384624856302,956.5815088822216,5057.851441855991
