,Omegam,Omegab,h,ns,sigma8,w0,wa,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,AIA,betaIA,etaIA
b4,689007.0742180956,-1535372.214339518,359329.6031504942,397182.1250193978,3692170.498500269,732960.4168783716,147758.599676752,3084.1113795330216,9274.090528217885,342251.23057853384,954009.5170894373,302983.87135823886,10594.212634990297,1812.4195584784507,248.76414661764926,17.963943893963332,5.071891913795308,5.013568911102746,-11.997264436153682,3.9544552616663005
b5,726175.5814735044,-1396930.7680498406,318902.9844428449,292588.98410440853,3228662.443406572,649171.4637095125,138298.9404057335,549.159137969704,2415.176442402876,8771.429788375535,302983.87135823886,768837.5246352137,269043.66093397094,8370.144185054234,1685.8884222788201,135.19098456657937,11.056338997766538,-9.566476515675623,10.97363039922253,-4.701763307076645
b6,774981.0959176379,-1359705.522035218,305710.5407506999,232118.42027715204,3007564.1050562914,612900.000825535,136909.8307204523,154.2768442204313,390.70417732453194,2044.5014933203274,10594.212634990297,269043.66093397094,707140.693748704,232351.91641752367,11667.011970433316,1043.3856256732372,75.38688292759241,35.41262237926826,-51.74608599422589,37.128735197438495
b7,694358.8757080637,-1141947.8621420392,254450.78675332852,160113.20900768385,2416035.9658837193,498204.86906651093,116047.82407023784,68.73763706118766,29.657143783937318,296.2923654056554,1812.4195584784507,8370.144185054234,232351.91641752367,525875.3228106791,197950.20197872442,4904.071312342225,385.1442322278221,38.7304743573974,-51.213069681596366,45.86200958215244
b8,783697.4719576188,-1222410.6039886407,270873.3048696559,138443.70505868163,2479228.7440381506,517183.1903924212,125426.33896203205,32.06130655363986,12.76719246824022,29.5724667080966,248.76414661764926,1685.8884222788201,11667.011970433316,197950.20197872442,619247.4153305588,151283.74894508228,2769.699433776067,55.412100767392324,-12.158180432063233,83.16665316276354
b9,707722.9913063579,-1045046.1910077439,230513.59882659945,88159.84138082723,2056322.596126228,434660.8417115874,110146.5779418012,2.96635322074672,1.753145347096783,6.260683527049596,17.963943893963332,135.19098456657937,1043.3856256732372,4904.071312342225,151283.74894508228,578397.5913859457,75898.69377868339,-48.71531997957249,-26.655897124637814,-95.91679676009856
b10,444799.68746623583,-606428.5837460387,131976.32939656894,25762.817171939583,1245941.3597038914,268050.4232307505,71568.28900037211,5.15793746028911,1.8285786502568262,0.8422785986415363,5.071891913795308,11.056338997766538,75.38688292759241,385.1442322278221,2769.699433776067,75898.69377868339,404621.7064331763,-267.3415018114804,-155.23414659941946,-467.7335879411053
AIA,17724.31811478019,277.59277883120683,-207.33949738773168,-874.4747899122328,413.00149029356294,1383.6277326943687,506.7032407615495,88.93571211697288,-31.6823992724487,16.804234489941514,5.013568911102746,-9.566476515675623,35.41262237926826,38.7304743573974,55.412100767392324,-48.71531997957249,-267.3415018114804,3620.613209310359,593.0692392641262,5795.977307534134
betaIA,10022.787110575702,-1908.3327752661894,582.86419424125,1192.720687328846,3358.8557449448776,-497.0422422447976,-55.97889183856491,-253.1238419216986,32.75918901883089,3.1033099166524494,-11.997264436153682,10.97363039922253,-51.74608599422589,-51.213069681596366,-12.158180432063233,-26.655897124637814,-155.23414659941946,593.0692392641262,1500.4230240905895,1470.4287046138718
etaIA,31066.878481717955,-298.04375412878665,-97.29298206958178,-891.0210832056412,1920.0698873753201,1948.066144483607,760.2181611987821,50.58927946248729,-31.850690763664982,16.772900859787196,3.9544552616663005,-4.701763307076645,37.128735197438495,45.86200958215244,83.16665316276354,-95.91679676009856,-467.7335879411053,5795.977307534134,1470.4287046138718,9474.525242393616
