3  7.83698	-1.012929e+00	-4.500614e-02	5.075793e-02	6.704212e-01	9.545594e-01	8.135132e-01	3.217582e-01	1.228373e+01	3.157033e+01	1.425520e+01	8.872953e+00	-3.245491e-01	-3.159984e-01	-3.096087e-01	-3.161564e-01	
3  7.53739	-1.012929e+00	-4.500614e-02	5.075793e-02	6.704212e-01	9.545594e-01	8.135132e-01	3.217582e-01	2.322088e+00	1.397490e+01	1.518798e+01	-3.582045e+00	-3.233594e-01	-3.125289e-01	-3.089652e-01	-3.162401e-01	
7  6.33525	-1.012929e+00	-4.500614e-02	5.075793e-02	6.704212e-01	9.545594e-01	8.135132e-01	3.217582e-01	6.547876e-01	2.330303e+01	2.314490e+01	1.355610e+01	-3.226796e-01	-3.141271e-01	-3.101378e-01	-3.178411e-01	
7  4.19843	-9.832198e-01	-6.077826e-02	5.125482e-02	6.693863e-01	9.548447e-01	8.123578e-01	3.248525e-01	1.598067e-01	2.167184e+01	2.036655e+01	9.560682e+00	-3.297036e-01	-3.211055e-01	-3.170243e-01	-3.246045e-01	
6  4.34854	-9.832198e-01	-6.077826e-02	5.125482e-02	6.693863e-01	9.548447e-01	8.123578e-01	3.248525e-01	-5.020033e-01	1.438552e+01	1.972197e+01	2.630079e+00	-3.289032e-01	-3.205069e-01	-3.171567e-01	-3.230101e-01	
5  5.51589	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-1.873014e+00	9.778902e+00	1.255500e+01	-7.117660e+00	-3.377096e-01	-3.287878e-01	-3.250091e-01	-3.304125e-01	
4  5.18475	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-1.618807e+01	-6.129833e+00	-1.123520e+00	-1.424271e+01	-3.358964e-01	-3.280692e-01	-3.237325e-01	-3.300383e-01	
1  5.27357	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-7.484595e+00	-3.174161e+00	1.068964e+01	-6.445552e+00	-3.361691e-01	-3.280646e-01	-3.245253e-01	-3.311626e-01	
13  4.17138	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-6.639686e+00	-8.831934e+00	-5.162037e+00	-3.034010e+00	-3.374645e-01	-3.270613e-01	-3.248473e-01	-3.311471e-01	
11  4.18052	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-1.564084e+01	-1.144038e+01	4.417472e+00	-2.246603e+01	-3.374272e-01	-3.279241e-01	-3.251922e-01	-3.306594e-01	
1  5.71663	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-1.510151e+01	-1.250348e+01	-1.710795e+00	-6.140986e+00	-3.381000e-01	-3.265448e-01	-3.257113e-01	-3.325472e-01	
15  6.50493	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-2.042363e+01	-9.169567e+00	5.011268e+00	-6.932723e+00	-3.375770e-01	-3.263795e-01	-3.253455e-01	-3.321017e-01	
3  4.58031	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-1.758232e+01	-1.246927e+01	-2.872889e+00	-1.638796e+01	-3.370002e-01	-3.269669e-01	-3.244260e-01	-3.323512e-01	
1  4.32738	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-8.023198e+00	-1.911193e+01	-7.706322e-01	-2.204871e+01	-3.386348e-01	-3.267538e-01	-3.246116e-01	-3.313453e-01	
1  3.29871	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-6.643613e+00	1.177415e+00	3.615656e+00	-2.425017e+01	-3.375348e-01	-3.287525e-01	-3.257242e-01	-3.303299e-01	
10  3.48342	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-1.255495e+01	-8.127189e+00	3.360716e+00	-1.365047e+01	-3.378654e-01	-3.278564e-01	-3.258158e-01	-3.316817e-01	
15  2.74022	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-4.010964e+00	-1.314481e+01	8.776866e+00	-4.536143e+00	-3.388417e-01	-3.272234e-01	-3.251084e-01	-3.320307e-01	
10  4.81797	-8.976386e-01	-3.035997e-01	5.196463e-02	6.679144e-01	9.510589e-01	8.041718e-01	3.314051e-01	-2.374796e+00	-1.565434e+01	1.175016e+01	-3.112220e+01	-3.383839e-01	-3.273357e-01	-3.251409e-01	-3.293890e-01	
5  6.32596	-9.072907e-01	-2.512739e-01	5.052127e-02	6.674116e-01	9.615259e-01	7.958797e-01	3.224104e-01	-1.013082e+01	-2.466025e+01	2.116912e+00	-4.060723e+01	-3.319822e-01	-3.206877e-01	-3.183201e-01	-3.224283e-01	
14  6.14675	-9.072907e-01	-2.512739e-01	5.052127e-02	6.674116e-01	9.615259e-01	7.958797e-01	3.224104e-01	-1.079968e+01	-2.942536e+01	8.234952e-02	-3.382883e+01	-3.321714e-01	-3.195448e-01	-3.181834e-01	-3.238132e-01	
